date,county,quantile,hosp_census_with_covid,hosp_census_for_covid,cases,Rt
2022-02-23,Total,0.5,7.38392845740266,4.4303570744416,101.007630081022,0.796047471349008
2022-02-23,Total,0.95,13.247011382167,7.9482068293002,155.810232437833,0.883241983165503
2022-02-24,Total,0.05,0.749663225251281,0.449797935150769,56.3979173358082,0.702550249207273
2022-02-24,Total,0.5,7.07447588565716,4.2446855313943,97.6597405572214,0.795411056740363
2022-02-24,Total,0.95,12.8419669184894,7.70518015109366,151.446566493251,0.882399080446932
2022-02-25,Total,0.05,1.00229010432085,0.601374062592512,53.8889892897549,0.703334069005635
2022-02-25,Total,0.5,6.89952819173032,4.13971691503819,93.7218039344874,0.794343191503101
2022-02-25,Total,0.95,12.6788821659884,7.60732929959305,147.071466977112,0.880204676479701
2022-02-26,Total,0.05,0.464472557454911,0.278683534472946,51.2507322133138,0.704302706937575
2022-02-26,Total,0.5,6.09279968891157,3.65567981334694,90.1458324261099,0.793050953305214
2022-02-26,Total,0.95,12.3850762600278,7.4310457560167,143.056646770097,0.878113011822638
2022-02-27,Total,0.05,0.432097395848039,0.259258437508824,48.8053751002936,0.704818491086756
2022-02-27,Total,0.5,6.1462393133457,3.68774358800742,86.4106009051622,0.792374249403987
2022-02-27,Total,0.95,12.1523939174727,7.29143635048362,138.365458103625,0.87666081731632
2022-02-28,Total,0.05,0.0334955765430105,0.0200973459258063,46.082410619573,0.7051135458134
2022-02-28,Total,0.5,5.75787685426706,3.45472611256023,82.7447219878381,0.79230742102654
2022-02-28,Total,0.95,11.4886549349467,6.89319296096804,134.101326956261,0.875251460220522
2022-03-01,Total,0.05,0,0,43.3955428631279,0.706044110419225
2022-03-01,Total,0.5,5.47219276791036,3.28331566074621,79.2041082665572,0.79204505429176
2022-03-01,Total,0.95,10.926567605593,6.55594056335579,129.731538264844,0.874510633077808
2022-03-02,Total,0.05,0,0,41.2724122725928,0.706356661757622
2022-03-02,Total,0.5,5.1245254169242,3.07471525015452,75.8698602194579,0.792808367375061
2022-03-02,Total,0.95,11.3382241615067,6.802934496904,125.294191627271,0.872463485912381
2022-03-03,Total,0.05,0,0,39.0797039524464,0.70454605496378
2022-03-03,Total,0.5,4.99507218586091,2.99704331151654,72.8105074379483,0.791508066749563
2022-03-03,Total,0.95,10.4308862413878,6.25853174483267,121.110493203406,0.879147350483248
2022-03-04,Total,0.05,0,0,37.3778451677772,0.69026403140516
